0,13 Beaches Lyrics,"I don't belong in the world, that's what it is|-|Something separates me from other people|-|Everywhere I turn|-|There's something blocking my escape|-|It took thirteen beaches to find one empty|-|But finally, it's mine|-|With drippin' peaches, I'm camera ready|-|Almost all the time|-|But I still get lonely|-|And baby, only then do I let myself recline|-|Can I let go, and let your memory dance|-|In the ballroom of my mind|-|Across the county line|-|It hurts to love you, but I still love you|-|It's just the way I feel|-|And I'd be lyin', if I kept hidin'|-|The fact that I can't deal|-|And that I've been dyin'|-|For somethin' real|-|That I've been dyin'|-|For somethin' real|-|It took thirteen beaches to find one empty|-|But finally, I'm fine|-|Past Ventura and lenses plenty|-|In the white sunshine|-|But you still can find me, if you ask nicely|-|Underneath the pines|-|With the daisies, feelin' hazy|-|In the ballroom of my mind|-|Across the county line|-|It hurts to love you, but I still love you|-|It's just the way I feel|-|And I'd be lyin', if I kept hidin'|-|The fact that I can't deal|-|And that I've been dyin'|-|For somethin' real|-|That I've been dyin'|-|For somethin' real|-|It hurts to love you, but I still love you|-|It's just the way I feel|-|And I'd be lying', if I kept hidin'|-|The fact that I can't deal|-|The fact that I can't deal"
1,1949 Lyrics,"Carry me up them stairs|-|Put my white socks on|-|And my pretty song|-|You like my blue nail polish|-|""What is all this?""|-|You said|-|""The miss upstairs|-|Don't be scared""|-|Daddy dearest|-|You know how I like to take trips|-|Pops for stops at the K-mart|-|Buy me my peach lipgloss|-|Cigarettes and lolipops|-|For I trip across the USA|-|We're gonna party like it's 1949|-|We're in the Pontiac from July to July|-|Gonna see it all before we he says goodbye|-|Gonna party like it's 1949|-|Carry me up the stairs|-|With my white socks on|-|And my blonde hair long|-|You like my pinup buttons|-|And the solist|-|That comes with the midnight air|-|And my icy stare|-|It's the clearest|-|When it's me and him alone|-|He stops, he talks|-|Better the ways he used to metal|-|Dinerettes and soda pops|-|For I trip across the USA|-|We're gonna party like it's 1949|-|We're in the Pontiac from July to July|-|Gonna see it all before he says goodbye|-|Gonna party like it's 1949|-|Daylights, black, blue|-|Pleasure beaty roadstops|-|Me, I like the suicide souvenire giftshops|-|Late night, midnight|-|Radio show talks|-|Him and me a big gergage|-|Ponytail, night pops|-|Dinerettes and sodapops|-|New blue bathing suite|-|Ruched tops and cadillacs|-|Blue lake, car to docks|-|Hop skotch|-|I talk|-|Alabama hard knocks|-|Motel dresslocks"
2,24 Lyrics,"There's only 24 hours in a day|-|And half as many ways for you to lie to me, my little love|-|There's only 24 hours in a day|-|And half of those, you lay awake|-|With thoughts of murder and carnage|-|If you lie down with dogs, then you'll get fleas|-|Be careful of the company you keep|-|There's only 24 hours|-|And that's not enough|-|To lie like you lie or|-|Love like you love|-|There's only 24 hours in a day|-|And half of those you lay|-|Between the sheets with me, my lying love|-|There's only 24 hours, so you'd say|-|For most of them you pay|-|For all the things they paid you for, my love|-|If you lie down with dogs, then you'll get fleas|-|Be careful of the ones you choose to leave|-|There's only 24 hours|-|And that's not enough|-|To lie like you lie or|-|Love like you love|-|Give me your heat|-|Give me your diamonds|-|You hit that street|-|And my crooked lust|-|You count to three|-|While they're all dying|-|You're hard to reach|-|You're cold to touch"
3,A Star For Nick Lyrics,"You know it & I know it|-|I'm gonna be a star|-|You wont, you wont get me very far|-|Don't say hello|-|It's already time to go|-|Oh the wind is carrying me home|-|me home me home again|-|Well you know it & I know it|-|I'm gonna be a star|-|You wont, you wont get me very far|-|You saw life back in the countryside|-|ahhh ahh ahh|-|Oh my soul rise up & go beyond, beyond|-|to what you know"
4,Afraid Lyrics,"I'm America's sweetheart tryin' to get away|-|You make it hard to leave, but it's easier for me to stay,|-|Why I'm so afraid|-|And I've had it up to here with the fighting|-|Baby we're not fooling anyone these days|-|I don't wanna stay|-|But I'm so afraid|-|But it's not love that keeps me here|-|And it's not what you want to hear|-|So I'm going back to Santa Monica, New York to L.A.|-|Never coming back, boy, no matter what you do or say|-|'Cause I'm so afraid|-|And I've had it up to here with the panic and the fear|-|There's nothing in your heart|-|Thought that I could make you change,|-|But I'm so afraid|-|But it's not love that keeps me here|-|We were just teenagers when we fell in love|-|Driving in your fast car, looking at the stars above|-|But it was not enough|-|You should never come between a woman and her dream|-|And a man who never knew his place|-|There's no easy way|-|To come back from where you came|-|But it's not love that keeps me here|-|And it's not what you want to hear|-|So, baby, now I'm going back to Santa Monica, New York to L.A.|-|Never coming back, boy, no matter what you do or say|-|'Cause I'm so afraid|-|And I've had it up to here with the panic and the fear|-|Nothing in your heart|-|Boy, I thought that I could make you change,|-|But I'm so afraid|-|But it's not love, it's just the fear|-|You've put down for all these years|-|But I'm leaving now|-|I'm going back to Santa Monica, New York to L.A.|-|Never coming back, boy, no matter what you do or say|-|I am done being afraid|-|And I've had it up to here with the panic and the fear|-|There's nothing in your heart|-|I thought that I could make you change,|-|But I'm so afraid|-|Oh, it's not love that keeps me here|-|It's not love that keeps me here|-|I'm done being afraid|-|I am done being afraid|-|Oh, oh, oh"
5,All Smiles Lyrics,"All dressed up with nowhere to go,|-|That's the story of the girl you know, me.|-|I'm all smiles but inside I frown, 'cause,|-|I see you walkin' around with Betty Lou,|-|Didn't I tell you what I heard about her?|-|It don't matter to you,|-|It don't matter to you,|-|It don't matter to you,|-|What those other girls do.|-|You'll date anyone,|-|You'll date anyone,|-|Are they more fun that me, baby?|-|I'm smilin', the New Jersey queen and,|-|You're the best thing I ever seen,|-|So won't you pull up your white corvette,|-|Jimmy, let me get a better look at your face,|-|I know it ain't doin', but I know what you like,|-|So come on inside and I'll fix you ice cream,|-|A little banana split for you, Jimmy, ooh.|-|You're so fine you're like silk la roux,|-|Guess that's why you keep slipping through,|-|My fingers, ooh.|-|You're the state's number one,|-|Everybody knows it.|-|You smile all the time,|-|'Cause how can you not show it,|-|When even you know that you're so,|-|To die for, to die for?|-|What do the need to get high for,|-|When I have you, when I have you?|-|It don't matter to you,|-|It don't matter to you,|-|It don't matter to you,|-|What those other girls done.|-|I'm gonna prove to you,|-|I'm gonna prove to you,|-|You'll never find nobody more fun.|-|Da, da, da, da, da, da, da,|-|Oh, more fun."
6,All You Need Lyrics,"You have a right,|-|to live your life,|-|like no one else does,|-|like no one else might|-|If you have visions,|-|come on and live them out|-|All you need,|-|is some peace, while you are here.|-|Just let go,|-|till you are home, dear|-|I had a dream,|-|when i was young|-|I dreamt our lives were,|-|going to be fun|-|We were always,|-|waiting to live.|-|All you need,|-|is some peace, while you are here.|-|Just let go,|-|of it all, dear.|-|You have a choice,|-|to hear the noise,|-|or hear the sweet sound,|-|of your sweet voice.|-|I know i've heard it,|-|I heard it in my sleep|-|All you need,|-|is some peace, while you are here.|-|Just let go,|-|don't say no, dear|-|Wake up each night at the same time|-|Roll up the blind and look outside|-|and in the orange light,|-|the fog is rising|-|This is life,|-|this tonight, peace in the quiet.|-|Happiness,|-|is the sky"
7,American Lyrics,"Play house, put my favorite record on|-|Get down, get your crystal method on|-|You were like, tall, tan, drivin' 'round the city|-|Flirtin' with the girls like, ""You're so pretty""|-|""Springsteen is the king, don't you think?""|-|I was like, ""Hell yeah, that guy can sing""|-|Like ooh, ooh, ooh-ooh-ooh|-|Ooh, ooh, ooh-ooh-oh|-|You make me crazy, you make me wild|-|Just like a baby, spin me 'round like a child|-|Your skin so gold and brown|-|Be young, be dope, be proud|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Drive fast, I can almost taste it now|-|L.A., I don't even have to fake it now|-|You were like so sick, everybody said it|-|You were way ahead of the trend, g-get it|-|""Elvis is the best, hell yes""|-|""Honey put on that party dress""|-|Like ooh, ooh, ooh-ooh-ooh|-|Ooh, ooh, ooh-ooh-oh|-|You make me crazy, you make me wild|-|Just like a baby, you spin me 'round like a child|-|Your skin so gold and brown|-|Be young, be dope, be proud|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Everybody wants to go fast|-|But they can't compare|-|I don't really want the rest|-|Only you can take me there|-|I don't even know what I'm sayin'|-|But I'm praying for you|-|Make me crazy, you make me wild|-|Just like a baby, you spin me 'round like a child|-|Your skin so gold and brown|-|Be young, be dope, be proud|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American|-|Ooh-ooh ooh-ooh, ooh-ooh ooh ooh-ooh|-|Like an American!"
8,Angels Forever Lyrics,"Is the sun in your eyes, easy rider?|-|Do the flame colored skies light your fire?|-|We are heavy metal lions|-|They will never understand|-|The kind of people you or I am.|-|Bow your heads and take your hands.|-|They were angels forever|-|Forever angels|-|They were angels forever|-|Forever angels|-|Does the ocean inspire, easy rider?|-|Do the stars and the wind take you higher?|-|You are California proud|-|You are angels of the night.|-|Rock and Roll guardians now|-|The last keepers of the light|-|They were angels forever|-|Forever angels|-|They were angels forever|-|Forever angels|-|Paradise is a hot colored flame sky|-|Is it nice to feel free in love?|-|Paradise is a game, you have to wonder|-|I just ride.|-|They were angels forever|-|Forever angels|-|They were angels forever|-|Forever angels"
9,Art Deco Lyrics,"Club queen on the downtown scene|-|Prowling around at night|-|You're not mean, you just want to be seen|-|Want to be wild|-|A little party never hurt no one, that's why it's alright|-|You want in but you just can't win|-|So you hang in the likes|-|You're so Art Deco|-|Out on the floor|-|Shining like gun medal cold and unsure|-|Baby you're so ghetto|-|You're looking to score|-|When they all say hello|-|You try to ignore them|-|Cause you want more (Why?)|-|You want more (Why?)|-|You want more (Why?)|-|Cause you want more|-|Young thing on the downtown scene|-|Rolling around at night|-|Got things, let it hit to be seen|-|Like you're rapper's delight|-|A little party never hurt no one, that's why it's alright|-|You want in, but you just can't win|-|So you stay in the lights|-|You're so Art Deco|-|Out on the floor|-|Shining like gun medal cold and unsure|-|Baby you're so ghetto|-|You're lookin' to score|-|They all say hello|-|You try to ignore them|-|Cause you want more (Why?)|-|You want more (Why?)|-|You want more (Why?)|-|Cause you want more|-|A little party never hurt no one|-|So we stay out late|-|A little party never hurt no one|-|That's what your friends say|-|You put your life out on the line|-|You're crazy all the time|-|Put your life out on the line|-|Crazy all the time|-|You're so Art Deco|-|Out on the floor|-|Shining like gun medal cold and unsure|-|Baby you're so ghetto|-|You're lookin' to score|-|They all say hello|-|But you try to ignore|-|Cause you want more (Why?)|-|You want more (Why?)|-|You want more (Why?)|-|Cause you want more|-|A little party never hurt no one|-|Not you and me|-|A little party never hurt no one"
