0,.Cinos-Brief Challenge For God Lyrics,"I woke up and looked around|-|And I don't like what I'm seeing|-|A lot of pain, a lot of tears|-|And a lot of people leaving|-|So I'm wondering, where you at|-|Why now, why|-|We need help, come down|-|But, you never show|-|People so oppressive they stay for it|-|Thinking it'll be different so they pray for it|-|Spend their whole life praising you|-|I bet they'll suffer in their grave too|-|Hope flowin' down the steam|-|It seems that deception is the theme|-|They spend their whole life worshiping your name|-|And all you give them is a dream|-|[Hook]|-|Self motivation, self preservation|-|Strength comes from within|-|From spite and from hatred|-|A lot of children being hurt|-|Diseases inserted, people getting murdered|-|Woman getting raped while creating false pregnancies|-|Laughing while smoking cigarettes, people burned to death|-|New birth defects|-|People die from aids, oh my God what's next|-|Men lose respect, now they don't protect|-|Safety laws connect in the form of threats|-|Now what you say can behoove me|-|Now you gotta prove it to me|-|So while I burn this planet down gravely, I challenge you to save me"
1,.I Don't Like (Remix) Lyrics,"1: Pusha T]|-|Fraud niggas, y'all niggas, that's that shit I don't like|-|Your shit make believe, rapping 'bout my own life|-|Real names kill things, that's that shit I won't write|-|Cause my niggas still selling dope like they ain't on their third strikes|-|Camping out in that corridor, fuck you waiting on Jordans for?|-|I middle-man it for 23, just meet me somewhere around Baltimore|-|(Woo!) That's rare nigga, (Woo!) Ric Flair nigga|-|(Woo!) The power's in my hair nigga, (Woo!) I give this beat the chair nigga|-|SoHo or Tribeca, three hoes: trifecta|-|Dope money, hope money, Hublot, my watch better|-|My pen's better, you don't write, trendsetter, you clone-like|-|Pay homage or K's vomit - ungrateful niggas, I don't like|-|Rrrah!|-|A fuck nigga, that's that shit I don't like|-|A snitch nigga, that's that shit I don't like|-|A bitch nigga, that's that shit I don't like|-|Sneak disser, that's that shit I don't like|-|(This Chicago, nigga!)|-|They smile in my face is what I don't like|-|They steal your whole sound, that's a soundbite|-|The media crucify me like they did Christ|-|They want to find me not breathing like they found Mike|-|A girl'll run her mouth only out of spite|-|But I never hit a woman never in my life|-|I was in too deep like Mekhi Phife'|-|In that pussy so deep I could have drowned twice|-|Rose gold Jesus piece with the brown ice|-|Eating good, vegetarian with the brown rice|-|Girls kissing girls, cause it's hot, right?|-|But unless they use a strap-on then they not dykes|-|They ain't about that life, they ain't about that life|-|We hanging out that window it's about to be a Suge night|-|Free Bump J, real nigga for life|-|Shoutout to Derrick Rose, man that nigga nice|-|Shout out to L-E-P, Jay Boogie right?|-|Chief Keef, King Louie, this is Chi, right? Right?!|-|A fuck nigga, that's that shit I don't like|-|A snitch nigga, that's that shit I don't like|-|A bitch nigga, that's that shit I don't like|-|Sneak disser, that's that shit I don't like|-|Don't like, don't like|-|A snitch nigga, that's that shit I don't like|-|(Young Chop on the beat)|-|Fake Gucci, that's that shit that I don't like|-|Smoking on this dope, higher than a kite|-|This bitch gon' love me now, she gon' let me pipe|-|Screaming Sosa, that's that nigga that I like|-|I don't want relations, I just want one night|-|Cause a thirsty bitch, that's the shit that I don't like|-|I got tats up on my arm, cause this shit is life|-|And I stunt so much in clothes, cause I'm living life|-|I come up on the scene, and I'm stealing light|-|Bitch I'm high off life, got me feeling right|-|Bitch I'm Chief Keef, fuck who don't like|-|And bitch we GBE, we just go on sight|-|A fuck nigga, that's that shit I don't like|-|A snitch nigga, that's that shit I don't like|-|A bitch nigga, that's that shit I don't like|-|Sneak disser, that's that shit I don't like|-|We are not one and the same, nigga I'm fucking insane, fuck is you saying?|-|Yo ass been doing the same, shit, not doing what you saying|-|Dang, I told yo old bitch she was fucking a lame, turn one ho to a train|-|Blaow, blang, my niggas holding that pain, I just hope you been praying|-|Bang bang! Riding for my niggas and that's for life|-|High class, I'm just surrounded by these lowlifes|-|And I run this bitch like it's no lights|-|Going hard the whole night cause I ain't going back to my old life|-|I promise|-|A fuck nigga, that's that shit I don't like|-|A snitch nigga, that's that shit I don't like|-|A bitch nigga, that's that shit I don't like|-|Sneak disser, that's that shit I don't like|-|I done sold purple, I done sold white|-|Running outta work, that's that shit I don't like|-|She never let me hit it, she gave me dome twice|-|She blowing up my phone, that's that bitch I don't like|-|Nah, jean jacket with the sleeves cut|-|Put the pressure on 'em just when they think that I eased up|-|Thirty for the Cuban, 'nother 30 for the Jesus|-|Believe in ourselves when nobody else believed us|-|Suckas|-|A fuck nigga, that's that shit I don't like|-|A snitch nigga, that's that shit I don't like|-|A bitch nigga, that's that shit I don't like|-|Sneak disser, that's that shit I don't like"
2,1996 Fat Beats Freestyle Lyrics,"Yo it's the Lake Shore Drive|-|Keep it live, tight, raw|-|You better hurry up, they can't keep it in the store|-|To be the format, your whole style on one beat|-|Insert the disk, watch a nigga press delete|-|Tryna flex your technique|-|You gettin' blasted with a TEC, that shit is mad ironic|-|Like Alanis Morisette, you try but can't jet|-|Bunch of airline lyrics, rhymes for low fare|-|Flyin' out of O'Hare|-|While these no-name ass niggas wanna go there, nobodies|-|Livin' three blocks from nowhere, down the street from nothin'|-|Let me show these niggas somethin', visual aid, the page|-|And the nigga who fronted, word to God, they don't want it|-|But they wanna play the role, actin' hardcore|-|Watch the whole career, flow, my style is too cold|-|Always, forever like Luther, but it ain't original|-|Because I stole it from the future, now I'm wanted in three centuries|-|The verbal killin', ask me where I got the style|-|Told 'em from my grandchildren, put it on files|-|Document it in the books|-|You niggas can't see me so cease the hard looks|-|I'll rather it get took|-|Live and die for rhymes, dedicated to hip-hop|-|Shit don't stop|-|Niggas they wanna know what and who's next|-|And you roll up in a Lex|-|That's the train stop, my brain drop mad lyrics|-|I rhyme with the spirit off the top, I drop nonstop|-|Verbally killin', my style is ready to willin'|-|Y'all niggas stay back chillin'|-|Like EPMD y'all niggas ain't seein' me, what|-|We're enormous, nah, do or die|-|I got the rhymes on the brain|-|They tried to bomb me on the plane so I rode the train|-|Before I got here I'm 'bout to save this shit, yo it's my year, what!?|-|Bring it on, pass it to my man Tariq|-|Rock the mic all week"
3,2 Words Lyrics,"We in the streets playa, getcha mail|-|It's only two places you'll end up - either dead or in jail|-|Still nowhere to go... still nowhere to go|-|Now throw ya hands up bustless, bustas, boostas, hoes|-|Everybody, f**k that|-|Still nowhere to go... still nowhere to go.|-|Two words, United States, no love, no brakes|-|Low brow, high stakes, crack smoke, black folks|-|Big Macs, fat folks, ecstasy capsules|-|Presidential scandals, everybody MOVE|-|Two words, Mos Def, K West, hot shit|-|Calm down, get back, ghetto people, got this|-|Game ball, lock shit, dump off, cock shit|-|We won't stop shit, everybody MOVE|-|Two words, BK, NY, bedstuy|-|Two hawks, too hungry, too many, that's why|-|These streets know game, can't ball, don't play|-|Every traffic, one lane, everybody MOVE|-|Two words, Mos Def, black check, hot shit|-|Calm down, get back, ghetto people, got this|-|Game point lock, long pump cocked|-|We won't stop, everybody MOVE|-|Now throw ya hands up bustless, bustas (Throw your hands up high)|-|Boostas, hoes, everybody, f**k that (ohhhhhh)|-|Still nowhere to go... still nowhere to go... (ohhhhhh)|-|And keep ya hands up bustless, bustas (Till they reach the sky)|-|Boostas, hoes, everybody, f**k that (ohhhhhh)|-|Still nowhere to go... still nowhere to go... (ohhhhhh)|-|Aiyyo, two words, Chi town, South side, world wide|-|'cause I, rep that, till I, f**kin die|-|One neck, two chains, one waist, two gats|-|One wall, twenty plaques, dudes say, ""Gimme that""|-|I am limelight, Blueprint, 5 Mics|-|Go get his rhyme like, shoulda been signed twice|-|Most imitated, Grammy nominated|-|Hotel accommodated, cheerleader, prom dated|-|Barbershop, playa hated, mom and pop, bootlegged it|-|Felt like it rained till the roof caved in|-|Two words, Chi town, raised me, crazy|-|So I live by two words, ""F**k you, pay me""|-|Screamin, Jesus save me|-|You know how the game be|-|I can't let em change me|-|'cause on Judgment Day, you gon blame me|-|Look God, it's the same me|-|I (Throw) basically know now (Your) we could (Up) racially profile (High)|-|Cuffed up and hosed down, pimped up and hoe down (ohhhhhh)|-|Plus I got a whole city to hold down (ohhhhhh)|-|From the bottom to the top|-|So only place to go down|-|And keep ya hands up bustless, bustas (Till they reach the sky)|-|Boostas, hoes, everybody, f**k that (ohhhhhh)|-|Still nowhere to go... still nowhere to go... (ohhhhhh)|-|Two words, Freeway, two letters, A-R|-|Turn y'all rap niggaz into two words, fast runners|-|Like Jackie Jurner, you better sleep with your burner|-|The heat skeet, blow a reef through ya car|-|My God, two words, no guns, break arms|-|Break necks, break backs, Steven Segul|-|Free... young bars, fresh men of the Roc|-|Left the beef in the pot Jay sent for his dogs|-|and broads, forget ya squad, let em find for yourself|-|Have you screamin out four words ""Send for the Lord""|-|Two words, Freeway's slightly retarded|-|F**k around, throw a clip in ya artist, leave with his broad.|-|Throw... (red) Your... (white)|-|Hands... (blue) Up... (black)|-|Throw... (calm) Your... (down)|-|Hands... (move) Up... (back)|-|Throw... (motherf**kers) Your... (askin)|-|Hands... (who is) Up... (that)|-|Throw... (you know) Your... (it's the)|-|Hands... (almighty) Up... (Mighty Johnny Jack)|-|Throw... (Mos) Your... (Def)|-|Hands... (K) Up... (West)|-|Throw... (there go) Your... (people)|-|Hands... (get this) Up... (shit off ya chest)|-|Throw... (north) Your... (to the south)|-|Hands... (to the east) Up... (to the west)|-|Throw... (we got) Your... (that concert)|-|Hands... (it was no) Up... (contest)|-|HIGH! (an show it to em like)|-|HIGH"
4,30 Hours Lyrics,"Baby lion goes|-|Where the islands go|-|You say you never saw this comin', well you're not alone|-|Million dollar renovations to a happy home|-|My ex says she gave me the best years of her life|-|I saw a recent picture of her, I guess she was right|-|I wake up, assessin' the damages|-|Checkin' MediaTakeOut|-|Pictures of me drunk walkin' out with a bitch|-|But it's blurry enough to get the fake out|-|I wake up, all veggies no eggs|-|I hit the gym, all chest no legs|-|Yep, then I made myself a smoothie|-|Yeah, then me and wifey make a movie|-|Chicago - St. Louis, St. Louis to Chicago|-|Andale Andale E.I, E.I, uh, oh|-|You had me drivin' far enough to switch the time zone|-|You was the best of all time at the time though|-|Yeah, you wasn't mine though|-|But I still drove 30 hours|-|But still drove 30 hours to you|-|I remember rapping for Jay and Cam|-|Young producer just trying to get his flows off|-|I remember being nervous to do Victoria Secret|-|'Til I pictured everybody with they clothes off|-|Expedition was Eddie Bauer edition|-|I'm drivin' with no winter tires in December|-|Skrrt skrrt skrrt like a private school for women|-|Then I get there and all the Popeye's is finished, girl|-|You don't love me, you just pretendin'|-|I need that happy beginnin', middle and endin'|-|Chicago, St. Louis, St. Louis to Chicago|-|It's gettin' hot in hurr, that's all that I know|-|Got a hotel room, 3 stars for you|-|You call down for an omelet|-|Girl it's 5 in the morning|-|You realize we at the DoubleTree, not the Aria|-|Only thing open is Waffle House, girl don't start with me|-|I used the Western Union for you like it's no prob|-|Cause you was in college complainin' about it's no jobs|-|But you were suckin' a nigga's dick the whole time|-|Well I guess a blowjob's better than no job|-|And I drove back 30 hours|-|Were remains that long to lose sad|-|Better unsaid|-|Always turn, oh|-|3 Stacks, can you help me out?|-|30 hours|-|Yeah, this the type of shit you ride out to|-|30 hours|-|30 hours|-|I just be like, it was my idea to have an open relationship|-|Now a nigga mad|-|Now I'm 'bout to drive 90 miles like Matt Barnes to kill...|-|30 hours|-|Just to kill.|-|Just to...|-|Just to...|-|I'm about to drive 90|-|90 miles like Matt Barnes just to whoop a nigga ass|-|It was my idea and now a nigga|-|30 hours|-|Now a nigga mad, now a nigga, uh|-|A stunna|-|Whoop him after school just to show I got class|-|Duh-duh-duh-duh-duh-duh-duh-duh|-|Duh-duh with you, yeah|-|30 hours|-|You know what I'm sayin'? Drop some shit like that|-|Ay, woop him after school|-|30 hours|-|Whoop him after school just to show I got class|-|Uh, 3 Stacks|-|30 hours|-|30 hours|-|Just ride out to that|-|Check it out, this the bonus track, this the bonus|-|My favorite albums just have like bonus joints like this|-|That's why they kick it off like this|-|Just did that Madison Square Garden|-|30 hours|-|Had to put the flyest nigga on this shit|-|The pyramids shall rise|-|30 hours|-|Look at all these Ultralight Beams flowin'|-|For all the moms, dads, the kids, the families that shared this moment with us|-|Let's rock out for 'bout|-|30 hours|-|You know, ay you know|-|Ay, you know, ay, you know|-|30 hours|-|Whole design team, Yeezy team, music team|-|Remember when the whole block'd get shout out?|-|This my version of a shout out track|-|30 hours|-|Let that mothafucka rock, let that, let that, yeah|-|To my brother Yasiin, holding it out in Africa|-|30 hours|-|To my family, thank you for holding me down|-|The media be after us|-|Phone call|-|That's Gabe calling|-|Yo Gabe|-|I'm just doing a... just doing an adlib track right now|-|What's up?|-|30 hours"
5,A Million And One Lyrics,
6,Addiction Lyrics,"Make me smile in my heart.|-|Ohh.|-|Why everything that's supposed to be bad make me feel so good|-|Everything they told me not to is exactly what I would|-|Man I tried to stop man I tried the best I could|-|But...|-|Make me smile.|-|What's your addiction? Is it money? Is it girls? Is it weed?|-|I've been afflicted by not 1 not 2 but all 3|-|She's got the same thing about me but more about us|-|She's coming over so I guess that means I'm on...|-|Make me smile.|-|Just let me peek now I mean damn I'm so curious|-|She's got a love so the lies and the lust is a rush|-|Time's of the essence I need you to be spontaneous|-|Roll up the doja, henny and c-c-c-cola.|-|Make me smile.|-|And I'm co-coming over, 'cause it's ne-never over.|-|Oh.|-|Why everything that's supposed to bad make me feel so good|-|Everything they told me not to is exactly what I would|-|Man I tried to stop man I tried the best I could|-|But...|-|Make me smile.|-|I see the emotion in your eyes that you try not to show|-|We get the closest when you high or you drunk or you blow|-|So I pour the potion so we could both get high as we could go|-|Then I'll get the lotion and do something to me when your thighs is exposed.|-|Make me smile.|-|There's no turning back now, I mean I don't mean to impose|-|Not now but right now I need you to undress and then pose|-|I'm into that now catch a vibrate when the doors get closed|-|Roll up the doja, henny and c-c-c-cola.|-|Make me smile in my heart.|-|Ohh.|-|And I'm keep' co-co-ming over, 'cause it's ne-never over.|-|Make me smile.|-|Why everything that's supposed to bad make me feel so good|-|Everything they told me not to is exactly what I would|-|Man I tried to stop man I tried the best I could|-|But...|-|Make me smile.|-|Make me smile.|-|Make me smile in my heart.|-|Ohh.|-|Make me smile in my heart.|-|Ohh.|-|I just wanted to ask you|-|Just wanted to um|-|Let how would I put this uhh|-|Let's say all your friends|-|Remember the one|-|You said if you ever she would be the one|-|Okay, Okay, Okay.|-|Make me smile in my heart.|-|Ohh.|-|I was thinking, hypothetically|-|I mean don't take this seriously|-|Don't take me... I mean just|-|Uhh not credibly|-|I'm feeling incredibly|-|I mean let's see|-|Just maybe|-|I mean you are in me|-|Maybe, Baby.|-|Make me smile in my heart.|-|Ohh.|-|Baby.|-|You know I was just kidding|-|Unless you gon' do it.|-|Make me smile."
7,All Day Lyrics,"All day, nigga|-|All day, nigga|-|How long you niggas ball? All day, nigga|-|How much time you spent at the mall? All day, nigga|-|How many thots do you got on call? All day, nigga|-|H-how long they keep you in court? All day, nigga|-|Take you to get this fly? All day, nigga|-|Tell your P.O. how how long you been high? All day, nigga|-|Y'all already know I'm straight from the Chi, all day, nigga|-|South, south, south side! All day, nigga|-|It's Ye, nigga|-|Shoppin' for the winter, and it's just May, nigga|-|Ball so hard, man, this shit cray, nigga|-|And you ain't gettin' money 'less you got eight figures|-|From the Jesus piece, man I've been saved, nigga|-|Just talked to Farrakhan, that's sensei nigga|-|Told him I've been on ten since 10th grade, nigga|-|Got a middle finger longer than Dikembe, my nigga, uh|-|I don't let 'em play with me|-|I don't let 'em talk to me no kind of way|-|You better watch what you say to me|-|People still gettin' popped on the day to day|-|Still got the 100 with the small face, nigga|-|Might spend 50 racks on my off day, nigga|-|You a fake Denzel like the Allstate nigga|-|If you run into me, better have Allstate with you|-|You a Rico Suave nigga|-|Drive around listening to Sade nigga|-|If you ain't with us, you in our way, nigga|-|You an actor, you should be on Broadway nigga|-|Cause you do shit the broad way nigga|-|Your bitch got an ass but my broad way thicker|-|Late for the class, in the hallway, nigga|-|Yeah the dropout at it as always nigga|-|At [?] in a sweet bread, and I reach into my head|-|Gave him what I had left|-|At that moment I disperse (All day!)|-|At that moment I disperse (All day!)|-|All day nigga|-|How long y'all playas ball? All day nigga|-|How much time y'all spent at the mall? All day nigga|-|How long it take you to get this fly? All day nigga|-|Tell your P.O. how how long you been high? All day nigga|-|Pour some Hen out for my niggas that died|-|And I keep a bad chick on the passenger side|-|Y'all already know I'm straight from the Chi, all day, nigga|-|South, south, south side! All day, nigga|-|I could do this all day, boy, I'm 'bout to turn this bitch out|-|That nigga Ye in the streets, boy, there's never really been a drought|-|[?] late, boy, you know I still go wild|-|I'm like a light skinned slave, boy, we in the mothafuckin' house|-|Right now, lookin' real sus right now|-|I swear I've been on this flight like a month right now|-|Stupid niggas gettin' paid, Forrest Gump right now|-|Sail out to [?] I need to stunt right now|-|I've been lookin' at the Gram, I've been lookin' at the Grammys|-|Like, whoo, that's us right now|-|24/7, 365 days, everybody gettin' paid|-|People lookin' at me like I'm worth both MJs|-|Screamin, ""Ye, Ye, take it easy""|-|20 Gs for the Yeezys on the ebay|-|People do the most and they ain't done shit|-|Only way we can sum it up, son, bitch|-|At [?] in a sweet bread, and I reach into my head|-|Gave him what I had left|-|At that moment I disperse (All day!)|-|At that moment I disperse (All day!)"
8,All Day (Remix) Lyrics,"All day, nigga|-|All day, nigga|-|How long you niggas ball? All day, nigga|-|How much time you spent at the mall? All day, nigga|-|How many thots do you got on call? All day, nigga|-|H-how long they keep you in court? All day, nigga|-|Take you to get this fly? All day, nigga|-|Tell your P.O. how how long you been high? All day, nigga|-|Y'all already know I'm straight from the Chi, all day, nigga|-|South, south, south side! All day, nigga|-|It's Ye, nigga|-|Shoppin' for the winter, and it's just May, nigga|-|Ball so hard, man, this shit cray, nigga|-|And you ain't gettin' money 'less you got eight figures|-|From the Jesus piece, man I've been saved, nigga|-|Just talked to Farrakhan, that's sensei nigga|-|Told him I've been on ten since 10th grade, nigga|-|Got a middle finger longer than Dikembe, my nigga, uh|-|I don't let 'em play with me|-|I don't let 'em talk to me no kind of way|-|You better watch what you say to me|-|People still gettin' popped on the day to day|-|Still got the 100 with the small face, nigga|-|Might spend 50 racks on my off day, nigga|-|You a fake Denzel like the Allstate nigga|-|If you run into me, better have Allstate with you|-|You a Rico Suave nigga|-|Drive around listening to Sade nigga|-|If you ain't with us, you in our way, nigga|-|You an actor, you should be on Broadway nigga|-|Cause you do shit the broad way nigga|-|Your bitch got an ass but my broad way thicker|-|Late for the class, in the hallway, nigga|-|Yeah the dropout at it as always nigga|-|At [?] in a sweet bread, and I reach into my head|-|Gave him what I had left|-|At that moment I disperse (All day!)|-|At that moment I disperse (All day!)|-|All day nigga|-|How long y'all playas ball? All day nigga|-|How much time y'all spent at the mall? All day nigga|-|How long it take you to get this fly? All day nigga|-|Tell your P.O. how how long you been high? All day nigga|-|Pour some Hen out for my niggas that died|-|And I keep a bad chick on the passenger side|-|Y'all already know I'm straight from the Chi, all day, nigga|-|South, south, south side! All day, nigga|-|I could do this all day, boy, I'm 'bout to turn this bitch out|-|That nigga Ye in the streets, boy, there's never really been a drought|-|[?] late, boy, you know I still go wild|-|I'm like a light skinned slave, boy, we in the mothafuckin' house|-|Right now, lookin' real sus right now|-|I swear I've been on this flight like a month right now|-|Stupid niggas gettin' paid, Forrest Gump right now|-|Sail out to [?] I need to stunt right now|-|I've been lookin' at the Gram, I've been lookin' at the Grammys|-|Like, whoo, that's us right now|-|24/7, 365 days, everybody gettin' paid|-|People lookin' at me like I'm worth both MJs|-|Screamin, ""Ye, Ye, take it easy""|-|20 Gs for the Yeezys on the ebay|-|People do the most and they ain't done shit|-|Only way we can sum it up, son, bitch|-|At [?] in a sweet bread, and I reach into my head|-|Gave him what I had left|-|At that moment I disperse (All day!)|-|At that moment I disperse (All day!)"
9,All Falls Down Lyrics,"Yeah, this the real one baby,|-|Uh, Chi town stand up,|-|South side, south side,|-|We gon' set this party off right,|-|West side, west side,|-|We gon' set this party off right.|-|Man I promise, she's so self conscious|-|She has no idea what she's doing in college|-|That major that she majored in don't make no money|-|But she won't drop out, her parents will look at her funny|-|Now, tell me that ain't insecure|-|The concept of school seems so secure|-|Sophomore three years aint picked a career|-|She like f**k it, I'll just stay down here and do hair|-|Cause that's enough money to buy her a few pairs of new Airs|-|Cause her baby daddy don't really care|-|She's so precious with the peer pressure|-|Couldn't afford a car so she named her daughter Alexus (a Lexus)|-|She had hair so long that it looked like weave|-|Then she cut it all off now she look like Eve|-|And she be dealing with some issues that you can't believe|-|Single black female addicted to retail and well|-|Uh, and when it falls down who you gon' call now?|-|C'mon c'mon, and when it fall's down|-|Man I promise, I'm so self conscious|-|That's why you always see me with at least one of my watches|-|Rollies and Pasha's they done drove me crazy|-|I can't even pronounce nothing, pass that versace!|-|Then I spent 400 bucks on this|-|Just to be like n***a you ain't up on this!|-|And I can't even go to the grocery store|-|Without some ones that's clean and a shirt with a team|-|It seems we living the American dream|-|But the people highest up got the lowest self esteem|-|The prettiest people do the ugliest things|-|For the road to riches and diamond rings|-|We shine because they hate us, floss cause they degrade us|-|We trying to buy back our 40 acres|-|And for that paper, look how low we a'stoop|-|Even if you in a Benz, you still a nigga in a coupe|-|C'mon c'mon, and when it fall's down|-|who u gonna acall now|-|C'mon c'mon, and when it fall's down|-|I say fuck the police, that's how I treat em|-|We buy our way out of jail, but we can't buy freedom|-|We'll buy a lot of clothes but we don't really need em|-|The things we buy to cover up what's inside|-|Cause they made us hate ourself and love they wealth|-|That's why shorties holler, ""Where the ballers at?""|-|Drug dealers buy Jordans, crackheads buy crack|-|But the white man get paid off of all a dat|-|But I ain't even gon act holier than thou|-|Cause f**k it, I went to Jacob with 25 thou|-|Before I had a house and I'd do it again|-|Cause I wanna be on 106 and Park pushing a Benz|-|I wanna act ballerific like it's all terrific|-|I got a couple past due bills, I won't get specific|-|I got a problem with spending before I get it|-|We all self conscious I'm just the first to admit it|-|Uh, and when it falls down who you gon' call now?|-|C'mon c'mon, and when it fall's down,|-|South side, south side,|-|We gon' set this party off right,|-|West side, west side,|-|We gon' set this party off right.|-|Chi-Town, Chi-Town,|-|We gon' show em how we get down."
